building N=8000 M=16 efC=500 ...
k=10 ef=64, 15 queries, per-query transient, B_F=4

   f    lure    tail    rand  lure_rec lure_ex
   1    0.4%    0.1%    0.0%     0.953    100%
   2    0.5%    0.1%    0.1%     0.953    100%
   3    0.0%    0.1%    0.2%     0.953    100%
   4    0.1%    0.1%    0.1%     0.953    100%
   5    0.6%    0.2%    0.1%     0.953    100%
   8    0.1%    0.2%    0.1%     0.953    100%
  16    0.4%    0.8%    0.4%     0.953    100%
  32    0.6%    1.4%    0.4%     0.953    100%

[exited with code 0]
